age,yrsed,edcat,yrsempl,income,creddebt,othdebt,default,jobsat,homeown,address,cars,carvalue
32,12,2,4,24,2.547072,0.908928,1,5,1,11,1,11.9
32,12,2,2,35,0.22204,3.41796,0,2,0,7,1,17.4
33,12,2,5,34,1.745016,1.110984,0,3,1,7,1,17.9
34,12,2,8,22,0.26884,0.30316,0,1,0,7,1,13.6
35,12,2,1,19,0.345971,2.143029,1,1,1,12,1,9.3
35,12,2,15,32,2.050624,3.677376,0,4,0,5,1,12.8
35,12,2,5,21,1.893192,3.062808,0,1,0,5,1,8.5
36,12,2,13,53,1.19568,5.16432,0,3,1,8,1,31.6
36,12,2,10,48,0.11808,1.32192,0,5,1,8,1,23.5
37,12,2,4,36,0.0558,1.7442,0,2,1,16,1,24
38,12,2,11,38,0.732336,0.939664,0,4,1,14,1,23.8
40,12,2,4,36,2.391984,1.676016,0,2,0,16,1,20.6
40,12,2,5,29,0.638232,1.797768,0,2,0,14,1,19.7
40,12,2,17,71,2.940252,5.295748,0,3,1,9,1,32
41,12,2,4,37,0.285085,2.193915,0,2,1,7,1,24.5
42,12,2,13,44,1.668744,2.115256,0,4,1,16,1,25.7
43,12,2,11,38,1.01707,2.82093,0,3,1,20,1,23.2
43,12,2,11,37,0.263958,4.287042,0,5,0,22,1,13.6
44,12,2,7,62,0.1364,2.3436,0,3,0,16,1,35
44,12,2,9,38,0.14535,0.80465,0,4,0,17,1,19.7
45,12,2,5,47,5.731791,2.587209,0,1,1,19,1,24.4
45,12,2,10,38,0.171456,1.614544,0,1,1,20,1,16.2
46,12,2,20,124,3.725704,16.858296,0,4,0,23,1,80.6
46,12,2,4,42,1.843632,2.062368,0,1,0,11,1,18.8
48,12,2,18,74,0.4403,1.4097,0,4,0,10,1,23.8
49,12,2,2,38,1.435336,1.452664,1,1,1,19,1,17.3
49,12,2,23,240,2.376,2.424,0,5,1,29,1,89.3
49,12,2,18,50,4.27035,12.87965,0,5,0,20,1,27.7
50,12,2,16,47,1.460055,3.662945,0,3,0,21,1,19
50,12,2,4,27,0.100359,1.492641,0,2,1,21,1,12.1
52,12,2,6,36,1.119564,3.812436,0,4,0,18,1,16.9
52,12,2,6,38,1.385328,6.860672,1,4,0,12,1,18.2
53,12,2,13,99,1.181763,15.945237,0,2,0,5,1,31.2
53,12,2,6,32,0.456672,1.687328,0,4,0,15,1,15.6
53,12,2,16,73,4.586517,3.954483,0,5,0,17,1,41.9
54,12,2,9,33,1.375704,2.188296,0,3,0,25,1,18.2
54,12,2,7,80,0.9288,3.3912,0,5,1,16,1,41.3
54,12,2,4,43,0.511485,1.165515,0,4,0,12,1,22.6
55,12,2,20,9,0.347706,0.498294,0,2,1,28,1,6.7
55,12,2,9,89,0.80278,4.09222,0,5,1,20,1,43.6
56,12,2,16,79,2.23412,3.29588,0,5,0,18,1,55.6
57,12,2,16,44,0.3454,0.7546,0,4,1,16,1,20
58,12,2,21,90,0.10755,0.34245,0,4,1,30,1,36.6
59,12,2,16,64,1.344,3.136,0,3,1,38,1,33.6
60,12,2,13,84,0.530712,1.737288,0,2,0,8,1,51.4
60,12,2,9,41,0.6068,0.9102,0,4,1,35,1,26.3
61,12,2,20,40,2.22904,5.25096,0,4,1,34,1,12.9
62,12,2,3,52,1.15752,1.02648,0,2,1,24,1,27.9
63,12,2,8,44,0.92796,4.08804,0,4,0,26,1,11.1
63,12,2,4,33,0.099792,0.593208,0,4,1,6,1,15.8
63,12,2,19,11,0.079464,0.228536,0,4,0,31,1,4.2
63,12,2,8,87,1.124475,3.660525,0,3,0,17,1,48.1
66,12,2,15,16,0.102336,0.313664,0,2,1,21,1,8.6
66,12,2,3,11,0.218834,0.419166,0,5,0,33,1,3.7
66,12,2,4,41,1.08978,1.37022,0,1,1,40,1,20.6
67,12,2,6,39,0.61152,3.75648,0,4,0,11,1,21.6
68,12,2,17,80,9.71816,19.64184,0,3,1,44,1,42.5
71,12,2,36,63,7.94808,4.02192,0,2,0,26,1,28.8
72,12,2,18,55,2.50173,4.81327,0,4,0,12,1,33.3
73,12,2,20,26,1.03883,2.36717,0,2,1,27,1,14
73,12,2,12,41,2.24393,3.08607,0,5,0,33,1,19.5
73,12,2,8,21,1.214514,2.187486,0,5,1,40,1,9.7
74,12,2,38,9,0.196056,0.307944,0,4,1,23,1,3.9
74,12,2,18,22,0.068904,1.119096,0,4,0,32,1,14
75,12,2,24,63,1.717695,6.661305,0,5,0,20,1,34.1
75,12,2,18,16,0.08544,0.23456,0,1,0,43,1,7.5
76,12,2,19,14,0.155918,0.362082,0,2,1,38,1,8
76,12,2,15,11,0.598598,1.172402,0,3,0,42,1,8.2
77,12,2,29,23,0.19136,1.28064,0,4,0,37,1,9.8
78,12,2,15,16,0.4988,1.8212,0,4,1,29,1,9.3
79,12,2,13,10,0.06052,0.61948,0,2,0,24,1,4.2
79,12,2,26,22,1.534896,1.831104,0,3,1,41,1,10.1
18,13,2,0,19,1.58821,0.88179,0,2,1,0,1,9
18,13,2,0,16,0.47128,1.72072,0,1,0,0,1,7.5
18,13,2,0,14,0.033166,0.288834,0,1,0,0,1,7.4
18,13,2,0,17,0.243695,0.555305,1,2,0,0,1,12.9
18,13,2,0,16,0.833504,1.118496,0,1,1,0,1,6
18,13,2,0,23,1.070282,1.367718,1,3,0,0,1,14.4
18,13,2,0,17,1.024335,0.726665,1,1,0,0,1,7.8
18,13,2,0,15,0.900405,1.904595,1,1,0,0,1,6.8
18,13,2,0,20,2.2008,3.0392,1,1,1,0,1,10.4
18,13,2,0,41,0.311436,0.057564,1,1,0,0,1,12.9
18,13,2,0,16,0.141056,0.322944,1,3,1,0,1,8.9
18,13,2,0,20,0.50736,2.51264,1,1,1,0,1,8.8
18,13,2,0,18,0.91188,0.61812,1,1,1,0,1,9.6
18,13,2,0,12,1.422096,0.641904,1,1,1,0,1,5.7
18,13,2,0,21,0.10353,0.10647,0,2,1,0,1,8.1
18,13,2,0,15,0.37665,0.43335,1,1,1,0,1,9.2
18,13,2,0,19,0.46284,0.67716,0,2,0,0,1,8.8
18,13,2,0,14,0.31955,0.45045,1,1,1,0,1,6.4
18,13,2,0,16,0.657536,0.750464,1,1,0,0,1,7.3
19,13,2,0,20,0.21056,2.02944,1,1,0,0,1,7.4
19,13,2,0,22,0.461384,0.154616,0,1,1,0,1,11.7
20,13,2,0,25,0.26675,0.28325,0,1,0,0,1,12.5
20,13,2,0,17,1.043868,1.149132,1,1,0,0,1,8.5
21,13,2,0,21,0.039249,0.401751,1,1,1,1,1,10.5
22,13,2,0,16,1.10352,0.72048,0,3,1,1,1,7.1
22,13,2,0,22,0.045056,0.658944,1,2,1,2,1,7.6
23,13,2,4,28,0.26656,0.18144,0,3,1,3,1,16.4
23,13,2,1,26,0.219232,0.586768,0,3,1,2,1,9.8
24,13,2,0,24,0.64848,1.03152,1,2,1,4,1,13
24,13,2,1,25,3.1304,1.1696,1,3,1,2,1,10.4
24,13,2,1,16,0.10792,1.02808,1,1,0,3,1,7
24,13,2,3,15,0.23562,1.02438,1,4,1,4,1,9.3
25,13,2,1,25,0.5075,1.2425,1,1,0,1,1,14.3
25,13,2,4,21,0.456876,0.131124,0,2,1,2,1,11.3
28,13,2,6,31,0.712008,0.651992,0,4,1,4,1,15.8
28,13,2,2,30,0.3915,0.3585,0,4,0,4,1,13.8
28,13,2,6,29,1.390608,0.755392,0,4,0,3,1,7.1
28,13,2,1,77,1.945944,4.291056,0,3,1,9,1,26.4
28,13,2,1,45,0.3564,1.6236,0,2,1,7,1,14.3
29,13,2,3,20,0.26598,1.59402,0,4,1,9,1,9
29,13,2,2,29,2.251908,0.880092,1,1,0,7,1,15.1
29,13,2,1,31,1.499749,1.631251,1,3,0,6,1,15.6
30,13,2,7,30,0.21624,1.82376,0,4,0,5,1,21
31,13,2,10,34,0.724608,1.723392,0,2,1,9,1,18.1
31,13,2,7,70,3.03639,0.95361,1,3,0,11,1,27.6
31,13,2,5,23,0.752836,6.929164,1,5,1,11,1,12.6
31,13,2,7,37,0.074592,0.369408,0,1,1,11,1,19.7
32,13,2,8,40,2.94112,1.09888,0,4,0,8,1,13.9
32,13,2,1,24,0.93024,3.96576,0,1,1,8,1,12.8
32,13,2,7,26,0.096096,0.449904,0,3,1,8,1,11.1
34,13,2,7,45,1.69713,3.20787,0,3,1,7,1,15.6
34,13,2,9,45,1.89405,6.34095,0,3,1,4,1,17.7
36,13,2,3,28,1.520736,5.423264,1,2,1,7,1,11.9
38,13,2,3,32,1.38272,3.38528,1,2,1,9,1,16.4
38,13,2,1,41,0.451,3.649,0,3,0,9,1,20.7
39,13,2,4,42,0.60123,0.86877,0,1,1,15,1,22.9
40,13,2,3,61,5.51562,7.90438,1,3,1,15,1,36.5
40,13,2,3,25,1.807775,2.367225,0,2,1,10,1,17.3
40,13,2,3,36,0.10404,1.11996,0,1,1,16,1,17.9
41,13,2,6,38,0.318592,4.659408,0,3,1,17,1,18.8
42,13,2,17,124,2.176696,6.131304,0,4,1,17,1,71.1
43,13,2,8,44,0.687456,1.160544,0,5,1,18,1,21.7
45,13,2,3,42,1.0353,1.4007,0,3,1,20,1,23.8
45,13,2,20,54,0.381348,0.806652,0,4,1,16,1,23.3
48,13,2,4,56,0.11088,3.58512,0,3,1,11,1,29.9
49,13,2,2,37,0.89947,4.39153,1,5,1,4,1,19.9
49,13,2,13,73,2.80028,7.41972,0,2,0,6,1,40.2
49,13,2,19,87,0.631098,2.761902,0,5,0,15,1,52.1
49,13,2,3,31,0.662718,0.639282,0,3,1,13,1,13.7
50,13,2,5,24,0.16608,0.79392,0,4,1,23,1,15.4
50,13,2,7,119,1.268302,7.418698,0,1,0,28,1,56.5
50,13,2,4,45,5.713785,2.701215,0,5,1,16,1,19.5
51,13,2,21,64,9.61216,5.10784,0,3,1,21,1,27.7
51,13,2,17,95,7.5411,10.4139,1,4,0,19,1,52.9
52,13,2,23,140,0.04284,0.09716,0,5,0,19,1,56.7
53,13,2,12,106,2.667808,2.844192,0,5,1,14,1,70.9
54,13,2,4,57,1.203042,2.273958,0,4,1,29,1,27.3
54,13,2,11,165,8.77338,32.80662,1,4,0,29,1,70
56,13,2,1,20,0.189,1.071,0,1,0,23,1,9.6
56,13,2,5,28,0.07056,3.45744,0,4,0,28,1,10.2
56,13,2,6,26,0.72072,0.21528,0,1,1,21,1,14.9
56,13,2,23,84,2.66868,4.89132,0,4,1,29,1,35.8
57,13,2,24,51,3.034245,5.278755,0,2,1,31,1,29.2
57,13,2,9,47,1.219932,3.621068,0,4,0,30,1,22.7
58,13,2,7,30,1.91535,1.47465,0,4,1,36,1,11
